netid,mid
sadams9,1
malmeid1,2
eatkins1,3
jbao,4
nblandin,5
ebrady6,6
kcapella,7
jcastro2,8
tclare,9
jcolli19,10
pcrouch,11
ecunnin2,12
dcurrie,13
adifalco,14
kdigiorn,15
jdoney,16
xdong2,17
mfair,18
cfallon4,19
cfevrius,20
afranco4,21
dgalvao,22
ahagema1,23
ehager,24
shan3,25
mhavigho,26
lheredi2,27
jjohns54,28
sjohns38,29
jkim56,31
jkim63,33
dlinares,34
smacgint,35
kmalecki,36
tmarsha8,37
emcclung,38
hmortemo,39
mmoyniha,40
dodunayo,41
kpettit,42
mphelps3,43
dquinn1,44
sriordan,45
arodri27,46
sscaglio,47
jshea3,48
aslavin,49
zspitzer,50
eshrout,51
wsulliv8,52
btrossen,53
atursi,54
cwall,55
owang1,56
mwest6,57
bwileniu,58
yyu3,60
,
,
,
,
,
,








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































